web-scraper-order|web-scraper-start-url|subcomponent|subcomponent-href|subcomponentlink|subcomponentlink-href|itemlink|itemlink-href|product_name|price|description|highlights
"1521171913-529"|"https://www.abcycling.com/mountain_bike_components.html"|"Chain Guides"|"https://www.abcycling.com/Mountain_Bike_Chain_Guides/catpage-MTBCOMPCG.html"|""|""|"e*thirteen Stealth Replacement Chain Guide Roller"|"https://www.abcycling.com/ethirteen_Stealth_Replacement_Chain_Guide_Roller/descpage-1122524.html"|"e*thirteen Stealth Replacement Chain Guide Roller"|"24.99"|"Keep your drivetrain quiet with the e*thirteen Stealth Replacement Chain Guide Roller. Chain guides are notorious for being noisy| so replace your worn out e.thriteen idler pulley with a new| quiet| and smooth sealed bearing unit."|"Factory replacment Quiet Maintains chain tension For use on lower roller only Made in Taiwan"
"1521171283-276"|"https://www.abcycling.com/mountain_bike_components.html"|"Spokes & Nipples"|"https://www.abcycling.com/Mountain_Bike_Wheel_Spokes__Nipples/catpage-MMCSNI.html"|""|""|"Mavic Crossmax XL 27.5 Spoke Drive Side Rear 251.5mm"|"https://www.abcycling.com/Mavic_Crossmax_XL_275_Spoke_Drive_Side_Rear_2515mm/descpage-MVCMXL27DS.html"|"Mavic Crossmax XL 27.5 Spoke Drive Side Rear 251.5mm"|"6.99"|"This spoke is a factory replacement for Mavic Crossmax XL Drive Side Spoke. Compatible with Mavic Crossmax XL 27.5 wheels. Fits rear drive side only. Spoke length is 251.5 millimeters."|"null"
"1521170725-28"|"https://www.abcycling.com/mountain_bike_components.html"|"Clearance Components"|"https://www.abcycling.com/Clearance_Mountain_Bike_Components/catpage-SALETILEMT6.html"|""|""|"SRAM XX1 Eagle Boost GXP Crankset"|"https://www.abcycling.com/SRAM_XX1_Eagle_Boost_GXP_Crankset/descpage-SRBCG.html"|"SRAM XX1 Eagle Boost GXP Crankset"|"319.88"|"Compatible with GXP frames/bottom brackets. The SRAM XX1 Eagle Crankset is a crucial component of the XX1 12-speed drivetrain| which was first envisioned as an 11-speed soultion for SRAM's cross-country pros. 11 has evolved into 12| and now we have XX1 Eagle| a full-range| 1X gruppo designed to perform with flawless shifting| provide better chain retention than a chain guide| and make sure you're always in the right gear. Part of the magic of SRAM's one-by drivetrains is the almost complete elimination of dropped chains. The magic of near-eternal chain retention relies on two things: the clutch rear derailleur| and X-Sync chainring teeth profiling. With the SRAM X-Sync 2 Eagle Chainring| the narrow-wide X-Sync tooth profile has been refined for longer wear| quieter operation| and even better chain engagement.  Two chainring teeth offsets are offered: a three millimeter offset for Boost 148 frames (this one)| and a six millimeter offset for ""standard"" 142 millimeter rear spaced frames. By offsetting the chainring teeth| selecting the right crank axle width for your frame is a non-issue. Of course| when choosing your crank| BB30 or GXP must still be considered. For reference| a jump of four teeth from your current one-by chainring will keep the low end feeling about the same."|"Actual weight: 477 grams Hollow carbon architecture Does not include bottom bracket Compatible with GXP frames/bottom brackets Includes 32 tooth 3mm offset chainring Direct chainring mount Warranty: 2 years Made in Taiwan SRAM part #:  Black/Gold 170mm - 00.6118.441.000 Black/Gold 175mm - 00.6118.441.001"
"1521170947-130"|"https://www.abcycling.com/mountain_bike_components.html"|"Stems"|"https://www.abcycling.com/Mountain_Bike_Stems/catpage-MTBCOMPSTEM.html"|""|""|"Race Face Atlas 35 Stem"|"https://www.abcycling.com/Race_Face_Atlas_35_Stem/descpage-RFA35S.html"|"Race Face Atlas 35 Stem"|"84.99"|"The new dawn is upon us. 35mm clamp handlebars and stems are the new normal| and normal is good. 35 comes with no weight penalty and is stiffer than 31.8| with enough weight savings in the handlebars to make up for slightly heavier stems—in the end it's a small weight savings over the old clamp diameter. Even more important is the increase in control and steering accuracy the new standard bestows| and Race Face has muscled their way up to the front of the group with the Race Face Atlas 35 Stem. Crafted from strong and light 6061 T6 aluminum| the Atlas features an interlocking faceplate design which eliminates stress-risers and improves durability. Laser-etched graphics include a bar-positioning template on the faceplate and stem body. Race Face's Atlas line-up bridges the gap between FR/DH and AM riding with an emphasis on strength while keeping weight reasonable."|"Actual Weights  35 mm: 141 grams 50 mm: 157 grams 65 mm: 181 grams  Clamp Diameter: 35 mm Length: 35| 50| 65 mm  Rise: 0 degrees  Attachment: Steer Tube 1 1/8” Stack: 40 mm Material: Machined 6061 Aluminum Warranty: Limited lifetime"
"1521170759-44"|"https://www.abcycling.com/mountain_bike_components.html"|"Clearance Components"|"https://www.abcycling.com/Clearance_Mountain_Bike_Components/catpage-SALETILEMT6.html"|""|""|"Race Face NW Direct Mount Chain Ring Black 32t USED"|"https://www.abcycling.com/Race_Face_NW_Direct_Mount_Chain_Ring_Black_32t_USED/descpage-URFDMR32.html"|"Race Face NW Direct Mount Chain Ring Black 32t USED"|"54.66"|""|"null"
"1521170917-118"|"https://www.abcycling.com/mountain_bike_components.html"|"Clearance Components"|"https://www.abcycling.com/Clearance_Mountain_Bike_Components/catpage-SALETILEMT6.html"|""|""|"Avid Code 08 Juicy 7/5 Carbo Lever Kit"|"https://www.abcycling.com/Avid_Code_08_Juicy_7_5_Carbo_Lever_Kit/descpage-AVC8J75CLK.html"|"Avid Code 08 Juicy 7/5 Carbo Lever Kit"|"1.88"|"Internal service kit for these Avid brakes:   Code| 2008-09 Juicy 7| 5| Carbon Lever"|"Compatible with Avid:  Code| 2008-09 Juicy 7| 5| Carbon Lever brakes"
"1521171461-342"|"https://www.abcycling.com/mountain_bike_components.html"|"Handlebars"|"https://www.abcycling.com/Mountain_Bike_Handlebars_-_XC_Freeride_Downhill/catpage-MTNBARS.html"|""|""|"Race Face Next Carbon 35 Riser Handlebar"|"https://www.abcycling.com/Race_Face_Next_Carbon_35_Riser_Handlebar/descpage-RFNXSLH.html"|"Race Face Next Carbon 35 Riser Handlebar"|"144.99"|"Black magic for trail and enduro riding| the Race Face Next 35 Riser Handlebar will help forever curse your competition to second place finishes. Thirty-five millimeter handlebars are lighter and stiffer| a fact proven in laboratories and test centers of every major component manufacturer. Perfectly suited to carbon fiber construction| which can fully realize the benefits of the bar's increased stiffness without shaking your fingers right off your hands| the Thirty-five millimeter standard on the Nexts provides unbelievable levels of steering accuracy for a bar of its weight. Coming in low and superlow rises of twenty and ten millimeters| the Next 35 Carbon bar is especially tuned in to 29'er cockpits. If 760 millimeters is too wide for you| Race Face has added cut marks to help you dial in your goldilocks length| but we still suggest measuring yourself."|"Actual Weight   10 mm: 188 grams 20 mm:192 grams  Clamp Diameter: 35 mm Width: 760 mm Rise: 10| 20 mm Upsweep: 5 degrees Backsweep: 8 degrees Material: UD Carbon Warranty: Limited lifetime"
"1521171881-516"|"https://www.abcycling.com/mountain_bike_components.html"|"Cranksets"|"https://www.abcycling.com/Mountain_Bike_Cranks/catpage-MTBCOMPCK.html"|""|""|"e*thirteen TRS+ Plus Crankset"|"https://www.abcycling.com/ethirteen_TRS_Plus_Crankset_/descpage-E13TRSL.html"|"e*thirteen TRS+ Plus Crankset"|"157.99"|"Looking for a light| super-stiff| reasonably-priced crankset? The alloy e*thirteen TRS+ Crankset packs performance and value into one component. At the heart of e13's TRS+ crank's prowess is the 30 millimeter axle and its P3 Connect arm interface. P3C is a lobed design suited for high-torque industrial applications. As an axle/crank connection| P3 provides maximum surface engagement| which won't degrade over time| and| along with the oversized axle| makes for a super-stiff crankset. APS (Adaptive Preload System) technology dials in the fit of the TRS+ cranks to any frame| without the use of tools or measuring devices. If you're upgrading to a Boost frame| these cranks can come along: simply place a spacer inboard or outboard of the chainring for proper alignment on Boost or non-Boost A spiderless crank design with direct-mounted chainrings let you run an e13 chainring as small as 28 teeth. Using a narrow-wide tooth profile virtually eliminates chain drops. Although most applications won't need one| adding a chianguide to your set up will make dropped chains a thing of the past. E*thirteen cranksets are fully compatible with Race Face Cinch 30mm Bottom Brackets| and of course e*thirteen's own 30 millimeter bottom brackets. Any bicycle frame can be compatible with the 30mm spindles by replacing the bottom bracket with a compatible 30mm bottom bracket or spacer set. Whether you have English/BSA| BSA86/92 PF30| BB30 or any other BB standard| there is a 30mm bottom bracket for you."|"Actual weight: 534 grams 1 Degree P3 Connect interface Aluminum arms and spindle Non-drive-side one-piece crank arm/spindle  Self-extracting bolt Compatible with Boost and non-Boost frames Five year warranty| one year bearing warranty Made in Taiwan e*thirteen part # CS3TPA"
"1521171831-494"|"https://www.abcycling.com/mountain_bike_components.html"|"Fasteners"|"https://www.abcycling.com/Fasteners/catpage-MCFASTENERS.html"|""|""|"Carbon-Ti M5x16 Alloy Socket Head Cap Bolt"|"https://www.abcycling.com/Carbon-Ti_M5x16_Alloy_Socket_Head_Cap_Bolt/descpage-CT516AB.html"|"Carbon-Ti M5x16 Alloy Socket Head Cap Bolt"|"0.88"|"Use Carbon-Ti M5x16 Alloy Socket Head Cap Bolts for almost all front derailleur clamp bolts| including: XTR| XT| Saint| Hone| LX| Deore| Dura-Ace| Ultegra| 105| X.0| X.9| and X.7. There are several different types of cyclists. At one end of the spectrum are those who do not own any lycra| then we have the cyclist who doesn't mind a baggy shirt flapping over spandex shorts. Eventually we get up to the leg-shaving| kit-matchers that ride to coffee shops in groups and talk about KOM's and PR's. Finally| there are those like you. The Weight Weenies. Cyclists who see nothing unusual with swapping out bolts on their well-loved steeds because| well| they can. We applaud your commitment to the discipline| and we are here to support you with a full array of colors and sizes of Carbon-Ti brand bolts to both shed grams and match colors."|"Actual weight: 1.3 grams per bolt Al 7075-T6 Annodized 16mm thread length M5 diameter bolt thread 3.0 Nm recommended max torque Use proper thread prep for application Made in Italy Carbon Ti part # 102105016CT"
"1521171785-474"|"https://www.abcycling.com/mountain_bike_components.html"|"Rear Derailleurs & Hangers"|"https://www.abcycling.com/Mountain_Bike_Rear_Derailleurs__Hangers/catpage-MTBRDER.html"|""|""|"Shimano XT M8000 GS Rear Derailleur 11-SPD"|"https://www.abcycling.com/Shimano_XT_M8000_GS_Rear_Derailleur_11-SPD/descpage-SHRDM8000GS.html"|"Shimano XT M8000 GS Rear Derailleur 11-SPD"|"74.99"|"Looking to go 11-speed| but don't want break the bank? Shimano's XT M8000 GS Rear Derailleur 11-SPD serves as a performance derailleur| featuring many of the same benefits of XTR| but at a lower price point. Having a 1x11 drive train is the hot new trend in the all-mountain world because is saves weight| reduces the risk of chain drops| and simplifies your shifting.  A low-friction coated shift cable and improved pulley design allow the M8000 to shift effortlessly| so you can attack the steepest climbs and descents. Shimano’s new Shadow design optimizes the slant angle| which increases chain tension| and in turn| provides better chain retention. And last| but not least| the chain stabilizer is easier to adjust than ever before| creating even better chain stability than Shimano’s previous models. The Shimano XT M8000 GS Rear Derailleur delivers remarkable performance at an affordable price| leaving you with no excuse for having anything but a 1x11 drive train on your all mountain shred sled!"|"Actual weight: 273 grams Cage length: Mid cage (GS) Cage material: Aluminum Clutch: Shadow RD+ Cassette speed: 11 Cassette range: 11-42T (2x11-speed) 11-46T (1x11-speed) Max Capacity: 39T Max front difference: 10T Warranty: Two years"
